fold,svm_name,svm_C,svm_gamma,xgb_weight,svm_weight,accuracy,balanced_accuracy,macro_f1,roc_auc,training_pairs,validation_pairs,training_deposits,validation_deposits
1,rbf_c3_gamma_0_01,3.0,0.01,0.2,0.8,0.62756052141527,0.62756052141527,0.6267836587537736,0.6864728871688706,7644,2148,317,81
1,rbf_c3_gamma_0_01,3.0,0.01,0.4,0.6,0.6345437616387337,0.6345437616387337,0.6337969744782002,0.6862925626540994,7644,2148,317,81
1,rbf_c3_gamma_0_01,3.0,0.01,0.5,0.5,0.638268156424581,0.638268156424581,0.6376177555132063,0.6850719044002649,7644,2148,317,81
1,rbf_c3_gamma_0_01,3.0,0.01,0.6,0.4,0.6368715083798883,0.6368715083798883,0.6363153288322081,0.6836657199629641,7644,2148,317,81
1,rbf_c3_gamma_0_01,3.0,0.01,0.8,0.19999999999999996,0.6317504655493482,0.6317504655493482,0.6314724267165941,0.6796968467484368,7644,2148,317,81
1,rbf_c3_gamma_0_01,3.0,0.01,1.0,0.0,0.62756052141527,0.62756052141527,0.6274439236329421,0.6743824752313875,7644,2148,317,81
2,rbf_c1_scale,1.0,scale,0.0,1.0,0.6569264069264069,0.6569264069264069,0.6544001132696584,0.7205432103971064,7944,1848,317,81
2,rbf_c1_scale,1.0,scale,0.2,0.8,0.66504329004329,0.66504329004329,0.6622183743126839,0.7298284327505106,7944,1848,317,81
2,rbf_c1_scale,1.0,scale,0.4,0.6,0.6677489177489178,0.6677489177489178,0.6645665715947952,0.7334874721238358,7944,1848,317,81
2,rbf_c1_scale,1.0,scale,0.5,0.5,0.6688311688311688,0.6688311688311688,0.6657299418931141,0.7333972845336483,7944,1848,317,81
2,rbf_c1_scale,1.0,scale,0.6,0.4,0.663961038961039,0.663961038961039,0.6609203366308375,0.7327554299956899,7944,1848,317,81
2,rbf_c1_scale,1.0,scale,0.8,0.19999999999999996,0.6601731601731602,0.6601731601731602,0.6574088396681022,0.7288961038961038,7944,1848,317,81
2,rbf_c1_scale,1.0,scale,1.0,0.0,0.6531385281385281,0.6531385281385281,0.6501429620749569,0.7228254249358146,7944,1848,317,81
2,rbf_c3_scale,3.0,scale,0.0,1.0,0.6645021645021645,0.6645021645021645,0.6620316565097606,0.7228675905623957,7944,1848,317,81
2,rbf_c3_scale,3.0,scale,0.2,0.8,0.66504329004329,0.6650432900432901,0.6622853878481288,0.7317528250969809,7944,1848,317,81
2,rbf_c3_scale,3.0,scale,0.4,0.6,0.6655844155844156,0.6655844155844155,0.6624527844606936,0.7352244616855006,7944,1848,317,81
2,rbf_c3_scale,3.0,scale,0.5,0.5,0.672077922077922,0.672077922077922,0.6688661671565178,0.734718474166526,7944,1848,317,81
2,rbf_c3_scale,3.0,scale,0.6,0.4,0.6672077922077922,0.6672077922077922,0.6640559161919244,0.7335589194355427,7944,1848,317,81
2,rbf_c3_scale,3.0,scale,0.8,0.19999999999999996,0.6628787878787878,0.6628787878787878,0.6600356174423297,0.729314246359701,7944,1848,317,81
2,rbf_c3_scale,3.0,scale,1.0,0.0,0.6531385281385281,0.6531385281385281,0.6501429620749569,0.7228254249358146,7944,1848,317,81
2,rbf_c10_scale,10.0,scale,0.0,1.0,0.6601731601731602,0.6601731601731602,0.6587341915085818,0.713598765952662,7944,1848,317,81
2,rbf_c10_scale,10.0,scale,0.2,0.8,0.663961038961039,0.663961038961039,0.6624657534246576,0.7247357620734244,7944,1848,317,81
2,rbf_c10_scale,10.0,scale,0.4,0.6,0.6655844155844156,0.6655844155844155,0.6634839889822228,0.7306483199340342,7944,1848,317,81
2,rbf_c10_scale,10.0,scale,0.5,0.5,0.670995670995671,0.670995670995671,0.6685107909593851,0.7315478533011001,7944,1848,317,81
2,rbf_c10_scale,10.0,scale,0.6,0.4,0.6655844155844156,0.6655844155844155,0.6629297847121546,0.7313171136223084,7944,1848,317,81
2,rbf_c10_scale,10.0,scale,0.8,0.19999999999999996,0.6612554112554112,0.6612554112554112,0.6584998943188407,0.7286313974625664,7944,1848,317,81
2,rbf_c10_scale,10.0,scale,1.0,0.0,0.6531385281385281,0.6531385281385281,0.6501429620749569,0.7228254249358146,7944,1848,317,81
2,rbf_c3_gamma_0_01,3.0,0.01,0.0,1.0,0.6688311688311688,0.6688311688311688,0.6663925383612477,0.7277459193043609,7944,1848,317,81
2,rbf_c3_gamma_0_01,3.0,0.01,0.2,0.8,0.6726190476190477,0.6726190476190477,0.669518421619698,0.7363605910683834,7944,1848,317,81
2,rbf_c3_gamma_0_01,3.0,0.01,0.4,0.6,0.6715367965367965,0.6715367965367965,0.6682117283700482,0.7390158542755947,7944,1848,317,81
2,rbf_c3_gamma_0_01,3.0,0.01,0.5,0.5,0.6699134199134199,0.6699134199134199,0.6667518056560668,0.7382545304623226,7944,1848,317,81
2,rbf_c3_gamma_0_01,3.0,0.01,0.6,0.4,0.6672077922077922,0.6672077922077921,0.6641266041625107,0.736316082906992,7944,1848,317,81
2,rbf_c3_gamma_0_01,3.0,0.01,0.8,0.19999999999999996,0.6590909090909091,0.6590909090909092,0.6561813759596291,0.7306494912014392,7944,1848,317,81
2,rbf_c3_gamma_0_01,3.0,0.01,1.0,0.0,0.6531385281385281,0.6531385281385281,0.6501429620749569,0.7228254249358146,7944,1848,317,81
3,rbf_c1_scale,1.0,scale,0.0,1.0,0.6881028938906752,0.6881134546457127,0.6881025355892326,0.7457299421009098,7920,1866,324,74
3,rbf_c1_scale,1.0,scale,0.2,0.8,0.6827438370846731,0.6827233250620348,0.6827205100956428,0.7570340501792114,7920,1866,324,74
3,rbf_c1_scale,1.0,scale,0.4,0.6,0.6843515541264737,0.6843534601599117,0.6843507382507545,0.7606837606837606,7920,1866,324,74
3,rbf_c1_scale,1.0,scale,0.5,0.5,0.6881028938906752,0.6881169010201269,0.6881014606799658,0.7612581564194468,7920,1866,324,74
3,rbf_c1_scale,1.0,scale,0.6,0.4,0.6902465166130761,0.6902812241521918,0.6902237412758137,0.7609663633857182,7920,1866,324,74
3,rbf_c1_scale,1.0,scale,0.8,0.19999999999999996,0.6907824222936764,0.6908085194375517,0.6907716764292391,0.7585320742578807,7920,1866,324,74
3,rbf_c1_scale,1.0,scale,1.0,0.0,0.6897106109324759,0.6897539288668322,0.6896713068879496,0.7543240510982446,7920,1866,324,74
3,rbf_c3_scale,3.0,scale,0.0,1.0,0.6757770632368703,0.6757444168734492,0.6757277978254319,0.7491866556382685,7920,1866,324,74
3,rbf_c3_scale,3.0,scale,0.2,0.8,0.6795284030010718,0.6795044113592501,0.6794985799762869,0.7583023159636063,7920,1866,324,74
3,rbf_c3_scale,3.0,scale,0.4,0.6,0.6838156484458735,0.6838261648745521,0.6838152852193252,0.7615579909934749,7920,1866,324,74
3,rbf_c3_scale,3.0,scale,0.5,0.5,0.6902465166130761,0.6902639922801213,0.6902433140336366,0.7617728149986215,7920,1866,324,74
3,rbf_c3_scale,3.0,scale,0.6,0.4,0.6907824222936764,0.6907981803143093,0.6907802021349647,0.7613500597371565,7920,1866,324,74
3,rbf_c3_scale,3.0,scale,0.8,0.19999999999999996,0.6897106109324759,0.6897573752412463,0.6896634627122729,0.7586400606561896,7920,1866,324,74
3,rbf_c3_scale,3.0,scale,1.0,0.0,0.6897106109324759,0.6897539288668322,0.6896713068879496,0.7543240510982446,7920,1866,324,74
3,rbf_c10_scale,10.0,scale,0.0,1.0,0.6709539121114684,0.6709332781913427,0.6709297182410892,0.7475559461446559,7920,1866,324,74
3,rbf_c10_scale,10.0,scale,0.2,0.8,0.6816720257234726,0.6816446098704163,0.6816354526539283,0.757863477621542,7920,1866,324,74
3,rbf_c10_scale,10.0,scale,0.4,0.6,0.6832797427652733,0.6832850840915357,0.683279651804805,0.7621381306865178,7920,1866,324,74
3,rbf_c10_scale,10.0,scale,0.5,0.5,0.6881028938906752,0.6881272401433691,0.6880939361076392,0.7628021321569709,7920,1866,324,74
3,rbf_c10_scale,10.0,scale,0.6,0.4,0.6918542336548767,0.6919010201268265,0.6918074111564023,0.762373632938149,7920,1866,324,74
3,rbf_c10_scale,10.0,scale,0.8,0.19999999999999996,0.6934619506966774,0.6935070306038048,0.693419335269679,0.7591742486903778,7920,1866,324,74
3,rbf_c10_scale,10.0,scale,1.0,0.0,0.6897106109324759,0.6897539288668322,0.6896713068879496,0.7543240510982446,7920,1866,324,74
3,rbf_c3_gamma_0_01,3.0,0.01,0.0,1.0,0.6795284030010718,0.6795250896057348,0.6795250896057348,0.7466891829795056,7920,1866,324,74
3,rbf_c3_gamma_0_01,3.0,0.01,0.2,0.8,0.6795284030010718,0.6794871794871795,0.6794562291090471,0.7574533590662624,7920,1866,324,74
3,rbf_c3_gamma_0_01,3.0,0.01,0.4,0.6,0.6886387995712755,0.6886338571822443,0.6886344178635444,0.7620370370370371,7920,1866,324,74
3,rbf_c3_gamma_0_01,3.0,0.01,0.5,0.5,0.6913183279742765,0.6913254755996692,0.6913183279742765,0.7626263670618509,7920,1866,324,74
3,rbf_c3_gamma_0_01,3.0,0.01,0.6,0.4,0.6902465166130761,0.6902777777777778,0.6902290795459767,0.7623403179854793,7920,1866,324,74
3,rbf_c3_gamma_0_01,3.0,0.01,0.8,0.19999999999999996,0.6918542336548767,0.6918872346291701,0.6918343203423813,0.7595499035015164,7920,1866,324,74
3,rbf_c3_gamma_0_01,3.0,0.01,1.0,0.0,0.6897106109324759,0.6897539288668322,0.6896713068879496,0.7543240510982446,7920,1866,324,74
4,rbf_c1_scale,1.0,scale,0.0,1.0,0.6501457725947521,0.6501597987216102,0.6501427988576092,0.7078875591217493,7728,2058,317,81
4,rbf_c1_scale,1.0,scale,0.2,0.8,0.6598639455782312,0.6598695543768983,0.6598639455782312,0.7110514226997294,7728,2058,317,81
4,rbf_c1_scale,1.0,scale,0.4,0.6,0.6642371234207969,0.6642413527358448,0.6642370441447404,0.7110693670006195,7728,2058,317,81
4,rbf_c1_scale,1.0,scale,0.5,0.5,0.6661807580174927,0.6661708372999682,0.6661712208720965,0.7106830923130392,7728,2058,317,81
4,rbf_c1_scale,1.0,scale,0.6,0.4,0.6671525753158406,0.6671228296840293,0.6671034507675679,0.7097603774725358,7728,2058,317,81
4,rbf_c1_scale,1.0,scale,0.8,0.19999999999999996,0.6608357628765792,0.6607648805476223,0.6606020912720014,0.7063528491772066,7728,2058,317,81
4,rbf_c1_scale,1.0,scale,1.0,0.0,0.6467444120505345,0.6466634933587199,0.6464337847025374,0.7006805612221769,7728,2058,317,81
