svm_name,svm_C,svm_gamma,xgb_weight,svm_weight,mean_macro_f1,std_macro_f1,mean_balanced_accuracy,std_balanced_accuracy,mean_accuracy,std_accuracy,mean_top_3_accuracy,std_top_3_accuracy
rbf_c3_gamma_0_01,3.0,0.01,0.6,0.4,0.6458764215201671,0.05824059594429301,0.6783580291659199,0.07663477738329896,0.7230750543832632,0.10163472441644422,0.9267096032784273,0.031139407653948282
rbf_c10_scale,10.0,scale,0.6,0.4,0.6454560529222714,0.06028968883482488,0.6807375839617421,0.08139770953016948,0.7196658022292007,0.11001186302924637,0.9243681535681414,0.035804800150117
rbf_c3_scale,3.0,scale,0.4,0.6,0.6454506902937652,0.05076586480320553,0.6728662908049341,0.07164200075350062,0.7232217496859038,0.10140947559330743,0.9331007230071199,0.0348336561898669
rbf_c3_gamma_0_01,3.0,0.01,0.2,0.8,0.6430831669556213,0.04505184468582482,0.6644968478687912,0.06395081136062408,0.7171983097054119,0.10061978803256849,0.9293495461842042,0.03638310824140725
rbf_c3_scale,3.0,scale,0.6,0.4,0.6428480868232227,0.051262329648466845,0.6763152167874298,0.0718751747238218,0.7166118333307858,0.09691081255796391,0.9280547107371813,0.0331625088268383
rbf_c10_scale,10.0,scale,0.5,0.5,0.642450758869171,0.050117238288558484,0.6764777226494447,0.06819674708612906,0.7245116252566515,0.10267810668316277,0.9293047107371812,0.032541604457009106
rbf_c3_scale,3.0,scale,0.5,0.5,0.638175953617208,0.04105887304425668,0.6681576993129253,0.0618022803466008,0.7152759454900997,0.09950790283639331,0.9330242229323034,0.030694390317349
rbf_c10_scale,10.0,scale,0.2,0.8,0.636459870410482,0.039427409251926976,0.6627328449864718,0.06311268633616059,0.7166617713680185,0.08856779282781892,0.9282456803616015,0.04307690964147867
rbf_c1_scale,1.0,scale,0.2,0.8,0.6357288631170385,0.05102045441973806,0.6618228057377364,0.08386588831957652,0.7143848531701036,0.10178531835270059,0.9268321156231826,0.03992612378353986
rbf_c3_gamma_0_01,3.0,0.01,0.0,1.0,0.6341072632635847,0.045871818957997544,0.6500291732124285,0.06503984661213648,0.7125933803903022,0.0857367359601765,0.9097709134539211,0.05856908148100154
rbf_c3_scale,3.0,scale,0.2,0.8,0.6297773779717362,0.04073887151413147,0.6512921843905606,0.06359691970680884,0.7108290192887726,0.09418882156110522,0.9330907741160072,0.040453749601415484
rbf_c3_scale,3.0,scale,0.0,1.0,0.6195899392623503,0.04576962398518257,0.6391328966166,0.07386464995348399,0.6993051043497133,0.08528818256488822,0.9024873564345146,0.06224885011020864
rbf_c1_scale,1.0,scale,0.0,1.0,0.6078438393656753,0.0560576312210231,0.6301387501967015,0.09288275480924522,0.685337509980071,0.0825611219335846,0.8972760414779982,0.06036945533026773
rbf_c10_scale,10.0,scale,0.0,1.0,0.6039913695627921,0.060721008934666046,0.6264950075714091,0.09161992462419193,0.6885116121435424,0.09089475048661208,0.9032186080665084,0.06589495733638807
