fold,svm_name,svm_C,svm_gamma,xgb_weight,svm_weight,accuracy,balanced_accuracy,macro_f1,top_3_accuracy,training_samples,validation_samples,training_deposits,validation_deposits
2,rbf_c3_gamma_0_01,3.0,0.01,1.0,0.0,0.8811188811188811,0.8357181197760908,0.8209074098274658,0.972027972027972,660,143,316,81
3,rbf_c1_scale,1.0,scale,0.0,1.0,0.7055214723926381,0.6822854633289416,0.6538586102848384,0.901840490797546,640,163,315,82
3,rbf_c1_scale,1.0,scale,0.2,0.8,0.7116564417177914,0.6872854633289417,0.6529052935373725,0.8895705521472392,640,163,315,82
3,rbf_c1_scale,1.0,scale,0.4,0.6,0.7239263803680982,0.6753763724198507,0.6583263463592425,0.901840490797546,640,163,315,82
3,rbf_c1_scale,1.0,scale,0.5,0.5,0.7116564417177914,0.6699409657212863,0.6522650365507509,0.901840490797546,640,163,315,82
3,rbf_c1_scale,1.0,scale,0.6,0.4,0.7116564417177914,0.6668517208700275,0.6465445681987034,0.9141104294478528,640,163,315,82
3,rbf_c1_scale,1.0,scale,0.8,0.19999999999999996,0.7116564417177914,0.6599347248225966,0.6507854481764257,0.9141104294478528,640,163,315,82
3,rbf_c1_scale,1.0,scale,1.0,0.0,0.6993865030674846,0.6519347248225966,0.6348786028830109,0.9141104294478528,640,163,315,82
3,rbf_c3_scale,3.0,scale,0.0,1.0,0.7361963190184049,0.7022999560825648,0.6721851159638883,0.8834355828220859,640,163,315,82
3,rbf_c3_scale,3.0,scale,0.2,0.8,0.7116564417177914,0.6829521299956083,0.650235679779158,0.901840490797546,640,163,315,82
3,rbf_c3_scale,3.0,scale,0.4,0.6,0.6932515337423313,0.6429202320689735,0.6178849797622183,0.9079754601226994,640,163,315,82
3,rbf_c3_scale,3.0,scale,0.5,0.5,0.6932515337423313,0.6523444744932159,0.625195913285692,0.9202453987730062,640,163,315,82
3,rbf_c3_scale,3.0,scale,0.6,0.4,0.7116564417177914,0.6668517208700275,0.6477764522566745,0.9202453987730062,640,163,315,82
3,rbf_c3_scale,3.0,scale,0.8,0.19999999999999996,0.7177914110429447,0.662108637866075,0.6419134690504558,0.9141104294478528,640,163,315,82
3,rbf_c3_scale,3.0,scale,1.0,0.0,0.6993865030674846,0.6519347248225966,0.6348786028830109,0.9141104294478528,640,163,315,82
3,rbf_c10_scale,10.0,scale,0.0,1.0,0.7116564417177914,0.6858628851443497,0.654624183006536,0.8650306748466258,640,163,315,82
3,rbf_c10_scale,10.0,scale,0.2,0.8,0.7361963190184049,0.701127707278737,0.660976800976801,0.901840490797546,640,163,315,82
3,rbf_c10_scale,10.0,scale,0.4,0.6,0.7239263803680982,0.6737815454314309,0.6454105639076833,0.9079754601226994,640,163,315,82
3,rbf_c10_scale,10.0,scale,0.5,0.5,0.7239263803680982,0.6737815454314309,0.6484107534249397,0.9202453987730062,640,163,315,82
3,rbf_c10_scale,10.0,scale,0.6,0.4,0.7055214723926381,0.6566923005801724,0.6297927194487034,0.9202453987730062,640,163,315,82
3,rbf_c10_scale,10.0,scale,0.8,0.19999999999999996,0.7177914110429447,0.662108637866075,0.6419134690504558,0.9202453987730062,640,163,315,82
3,rbf_c10_scale,10.0,scale,1.0,0.0,0.6993865030674846,0.6519347248225966,0.6348786028830109,0.9141104294478528,640,163,315,82
3,rbf_c3_gamma_0_01,3.0,0.01,0.0,1.0,0.7300613496932515,0.6970367981878278,0.6820109626318402,0.9079754601226994,640,163,315,82
3,rbf_c3_gamma_0_01,3.0,0.01,0.2,0.8,0.7177914110429447,0.6820367981878279,0.6524007737066119,0.901840490797546,640,163,315,82
3,rbf_c3_gamma_0_01,3.0,0.01,0.4,0.6,0.7055214723926381,0.6534274784457851,0.6395098039215686,0.901840490797546,640,163,315,82
3,rbf_c3_gamma_0_01,3.0,0.01,0.5,0.5,0.7177914110429447,0.6708517208700275,0.6574828738512949,0.901840490797546,640,163,315,82
3,rbf_c3_gamma_0_01,3.0,0.01,0.6,0.4,0.7177914110429447,0.6690256339135059,0.6509988244264152,0.9141104294478528,640,163,315,82
3,rbf_c3_gamma_0_01,3.0,0.01,0.8,0.19999999999999996,0.7177914110429447,0.662108637866075,0.6434988349041144,0.9202453987730062,640,163,315,82
3,rbf_c3_gamma_0_01,3.0,0.01,1.0,0.0,0.6993865030674846,0.6519347248225966,0.6348786028830109,0.9141104294478528,640,163,315,82
4,rbf_c1_scale,1.0,scale,0.0,1.0,0.6341463414634146,0.5242309676907201,0.532029267029267,0.8048780487804879,639,164,317,80
4,rbf_c1_scale,1.0,scale,0.2,0.8,0.6951219512195121,0.5920708032937135,0.5890931755376667,0.8902439024390244,639,164,317,80
4,rbf_c1_scale,1.0,scale,0.4,0.6,0.7073170731707317,0.6307080870625762,0.6064185016771224,0.9024390243902439,639,164,317,80
4,rbf_c1_scale,1.0,scale,0.5,0.5,0.7195121951219512,0.6460519099063992,0.6210359921316897,0.9024390243902439,639,164,317,80
4,rbf_c1_scale,1.0,scale,0.6,0.4,0.7134146341463414,0.6383596022140914,0.6085495058618792,0.9024390243902439,639,164,317,80
4,rbf_c1_scale,1.0,scale,0.8,0.19999999999999996,0.7134146341463414,0.642423773337086,0.6161690173805625,0.9024390243902439,639,164,317,80
4,rbf_c1_scale,1.0,scale,1.0,0.0,0.7134146341463414,0.6680647989781117,0.6208319773248523,0.8902439024390244,639,164,317,80
4,rbf_c3_scale,3.0,scale,0.0,1.0,0.6646341463414634,0.5670529599399569,0.5736019848927211,0.8170731707317073,639,164,317,80
4,rbf_c3_scale,3.0,scale,0.2,0.8,0.6829268292682927,0.5900792757294306,0.5860205559318632,0.8902439024390244,639,164,317,80
4,rbf_c3_scale,3.0,scale,0.4,0.6,0.7134146341463414,0.6317419551552679,0.6086344518528675,0.9024390243902439,639,164,317,80
4,rbf_c3_scale,3.0,scale,0.5,0.5,0.7134146341463414,0.642423773337086,0.6178639152107712,0.9085365853658537,639,164,317,80
4,rbf_c3_scale,3.0,scale,0.6,0.4,0.7012195121951219,0.6288491127036019,0.5972896006364566,0.9024390243902439,639,164,317,80
4,rbf_c3_scale,3.0,scale,0.8,0.19999999999999996,0.7134146341463414,0.642423773337086,0.6161690173805625,0.9024390243902439,639,164,317,80
4,rbf_c3_scale,3.0,scale,1.0,0.0,0.7134146341463414,0.6680647989781117,0.6208319773248523,0.8902439024390244,639,164,317,80
4,rbf_c10_scale,10.0,scale,0.0,1.0,0.6402439024390244,0.5210763385221588,0.5307682587954821,0.8109756097560976,639,164,317,80
4,rbf_c10_scale,10.0,scale,0.2,0.8,0.7073170731707317,0.6294382500884049,0.6252835399894223,0.8780487804878049,639,164,317,80
4,rbf_c10_scale,10.0,scale,0.4,0.6,0.7195121951219512,0.6522631109860211,0.624746047197738,0.8963414634146342,639,164,317,80
4,rbf_c10_scale,10.0,scale,0.5,0.5,0.7012195121951219,0.6312782625011727,0.6044139327607888,0.9024390243902439,639,164,317,80
4,rbf_c10_scale,10.0,scale,0.6,0.4,0.6951219512195121,0.629460080682991,0.5984813567116756,0.9085365853658537,639,164,317,80
4,rbf_c10_scale,10.0,scale,0.8,0.19999999999999996,0.7134146341463414,0.642423773337086,0.6150214547982173,0.9024390243902439,639,164,317,80
4,rbf_c10_scale,10.0,scale,1.0,0.0,0.7134146341463414,0.6680647989781117,0.6208319773248523,0.8902439024390244,639,164,317,80
4,rbf_c3_gamma_0_01,3.0,0.01,0.0,1.0,0.6707317073170732,0.5723161178346936,0.5760675450843594,0.823170731707317,639,164,317,80
4,rbf_c3_gamma_0_01,3.0,0.01,0.2,0.8,0.6951219512195121,0.6252617686750813,0.6109079439073941,0.8963414634146342,639,164,317,80
4,rbf_c3_gamma_0_01,3.0,0.01,0.4,0.6,0.7317073170731707,0.6586009295142422,0.6328734347771902,0.9024390243902439,639,164,317,80
4,rbf_c3_gamma_0_01,3.0,0.01,0.5,0.5,0.7195121951219512,0.6394342628475755,0.6142522845109053,0.9024390243902439,639,164,317,80
4,rbf_c3_gamma_0_01,3.0,0.01,0.6,0.4,0.7134146341463414,0.642423773337086,0.6150214547982173,0.8963414634146342,639,164,317,80
4,rbf_c3_gamma_0_01,3.0,0.01,0.8,0.19999999999999996,0.7134146341463414,0.642423773337086,0.6161690173805625,0.9085365853658537,639,164,317,80
4,rbf_c3_gamma_0_01,3.0,0.01,1.0,0.0,0.7134146341463414,0.6680647989781117,0.6208319773248523,0.8902439024390244,639,164,317,80
5,rbf_c1_scale,1.0,scale,0.0,1.0,0.6820809248554913,0.5644621569260058,0.5725434900642026,0.8786127167630058,630,173,317,80
5,rbf_c1_scale,1.0,scale,0.2,0.8,0.7167630057803468,0.6100610025248513,0.609996003420502,0.9190751445086706,630,173,317,80
5,rbf_c1_scale,1.0,scale,0.4,0.6,0.7225433526011561,0.6243736827997117,0.6179040846854753,0.9190751445086706,630,173,317,80
5,rbf_c1_scale,1.0,scale,0.5,0.5,0.7456647398843931,0.6558522616920838,0.6500654659350311,0.9190751445086706,630,173,317,80
5,rbf_c1_scale,1.0,scale,0.6,0.4,0.7283236994219653,0.654451153839363,0.6229715830596112,0.9190751445086706,630,173,317,80
5,rbf_c1_scale,1.0,scale,0.8,0.19999999999999996,0.7167630057803468,0.6779507292855458,0.6447466493663272,0.9248554913294798,630,173,317,80
5,rbf_c1_scale,1.0,scale,1.0,0.0,0.7109826589595376,0.6747249228339329,0.6372901286197016,0.9190751445086706,630,173,317,80
5,rbf_c3_scale,3.0,scale,0.0,1.0,0.6705202312138728,0.5850095986080414,0.5893884448884449,0.884393063583815,630,173,317,80
5,rbf_c3_scale,3.0,scale,0.2,0.8,0.6994219653179191,0.6003566171808663,0.599711791661393,0.9248554913294798,630,173,317,80
5,rbf_c3_scale,3.0,scale,0.4,0.6,0.7283236994219653,0.643147629159865,0.634182461787651,0.9190751445086706,630,173,317,80
5,rbf_c3_scale,3.0,scale,0.5,0.5,0.7283236994219653,0.6380670682672908,0.6233553838348358,0.9190751445086706,630,173,317,80
5,rbf_c3_scale,3.0,scale,0.6,0.4,0.7225433526011561,0.6460966730710891,0.6274067833485641,0.9190751445086706,630,173,317,80
5,rbf_c3_scale,3.0,scale,0.8,0.19999999999999996,0.7167630057803468,0.6779507292855458,0.6463006152344388,0.9132947976878613,630,173,317,80
5,rbf_c3_scale,3.0,scale,1.0,0.0,0.7109826589595376,0.6747249228339329,0.6372901286197016,0.9190751445086706,630,173,317,80
5,rbf_c10_scale,10.0,scale,0.0,1.0,0.6647398843930635,0.5845885359233525,0.589771746812459,0.9132947976878613,630,173,317,80
5,rbf_c10_scale,10.0,scale,0.2,0.8,0.6936416184971098,0.6215957043821337,0.6246595107988551,0.9190751445086706,630,173,317,80
5,rbf_c10_scale,10.0,scale,0.4,0.6,0.7225433526011561,0.6484206036208262,0.6305065496480459,0.9190751445086706,630,173,317,80
5,rbf_c10_scale,10.0,scale,0.5,0.5,0.7225433526011561,0.6431175733177958,0.6098238517039015,0.9190751445086706,630,173,317,80
5,rbf_c10_scale,10.0,scale,0.6,0.4,0.7283236994219653,0.6684631954376115,0.6500155358035491,0.9132947976878613,630,173,317,80
5,rbf_c10_scale,10.0,scale,0.8,0.19999999999999996,0.7225433526011561,0.6813990051476149,0.6513795168799634,0.9190751445086706,630,173,317,80
5,rbf_c10_scale,10.0,scale,1.0,0.0,0.7109826589595376,0.6747249228339329,0.6372901286197016,0.9190751445086706,630,173,317,80
5,rbf_c3_gamma_0_01,3.0,0.01,0.0,1.0,0.7167630057803468,0.6234448409086897,0.6214959412103696,0.8901734104046243,630,173,317,80
5,rbf_c3_gamma_0_01,3.0,0.01,0.2,0.8,0.7052023121387283,0.6150603042983466,0.6095965979196883,0.9132947976878613,630,173,317,80
5,rbf_c3_gamma_0_01,3.0,0.01,0.4,0.6,0.7283236994219653,0.6407878242138532,0.6454431439817496,0.9248554913294798,630,173,317,80
5,rbf_c3_gamma_0_01,3.0,0.01,0.5,0.5,0.7225433526011561,0.6350367652369877,0.6200738103358711,0.9190751445086706,630,173,317,80
5,rbf_c3_gamma_0_01,3.0,0.01,0.6,0.4,0.7225433526011561,0.6348412618156779,0.609988406609163,0.9190751445086706,630,173,317,80
5,rbf_c3_gamma_0_01,3.0,0.01,0.8,0.19999999999999996,0.7167630057803468,0.6779507292855458,0.6447466493663272,0.9190751445086706,630,173,317,80
5,rbf_c3_gamma_0_01,3.0,0.01,1.0,0.0,0.7109826589595376,0.6747249228339329,0.6372901286197016,0.9190751445086706,630,173,317,80
